종목코드,종목명,섹터
032820,우리기술,전력기기·에너지
010170,대한광통신,IT·전자부품
226950,올릭스,제약·바이오
058610,에스피지,로봇·자동화
214150,클래시스,제약·바이오
140410,메지온,제약·바이오
083650,BHI,전력기기·에너지
263750,펄어비스,인터넷·SW·게임
098460,고영,반도체
068760,셀트리온제약,제약·바이오
140860,파크시스템스,반도체
041510,에스엠,미디어·엔터
089030,테크윙,반도체
060370,LS마린솔루션,건설·부동산
0009K0,에임드바이오,제약·바이오
950160,코오롱티슈진,제약·바이오
007390,네이처셀,제약·바이오
131970,두산테스나,반도체
323280,태성,반도체
089970,브이엠,반도체
241710,코스메카코리아,화장품·소비재
475830,오름테라퓨틱,제약·바이오
030530,원익홀딩스,반도체
096530,씨젠,제약·바이오
082920,비츠로셀,전력기기·에너지
039200,오스코텍,제약·바이오
290650,엘앤씨바이오,제약·바이오
078600,대주전자재료,IT·전자부품
035900,JYP Ent.,미디어·엔터
420770,기가비스,반도체
183300,코미코,반도체
218410,RFHIC,IT·전자부품
043260,성호전자,IT·전자부품
195940,HK이노엔,제약·바이오
204270,제이앤티씨,IT·전자부품
127120,JS링크,2차전지
347700,스피어,기타
003380,하림지주,유통·음식료
115180,큐리언트,제약·바이오
437730,삼현,로봇·자동화
166090,하나머티리얼즈,반도체
232140,와이씨,반도체
445680,큐리옥스바이오시스템즈,제약·바이오
036540,SFA반도체,반도체
124500,아이티센글로벌,인터넷·SW·게임
293490,카카오게임즈,인터넷·SW·게임
036830,솔브레인홀딩스,반도체
101490,에스앤에스텍,반도체
476830,알지노믹스,제약·바이오
491000,리브스메드,제약·바이오
086450,동국제약,제약·바이오
950260,인지니아테라퓨틱스,제약·바이오
065350,신성델타테크,IT·전자부품
119850,지엔씨에너지,전력기기·에너지
038500,삼표시멘트,건설·부동산
100790,미래에셋벤처투자,은행·증권·보험
083450,GST,반도체
041830,인바디,제약·바이오
458870,씨어스테크놀로지,제약·바이오
031330,에스에이엠티,IT·전자부품
014620,성광벤드,조선·기계
388720,유일로보틱스,로봇·자동화
099320,쎄트렉아이,방산·항공우주
213420,덕산네오룩스,IT·전자부품
090710,휴림로봇,로봇·자동화
252990,샘씨엔에스,반도체
281740,레이크머티리얼즈,반도체
033100,제룡전기,전력기기·에너지
090360,로보스타,로봇·자동화
032190,다우데이타,인터넷·SW·게임
085660,차바이오텍,제약·바이오
356860,티엘비,반도체
417200,엘에스머트리얼즈,2차전지
122870,와이지엔터테인먼트,미디어·엔터
251970,펌텍코리아,화장품·소비재
006730,서부T&D,건설·부동산
388210,씨엠티엑스,기타
074600,원익QnC,반도체
093320,케이아이엔엑스,인터넷·SW·게임
035760,CJ ENM,미디어·엔터
456160,지투지바이오,제약·바이오
466100,클로봇,로봇·자동화
137400,피엔티,2차전지
225570,넥슨게임즈,인터넷·SW·게임
328130,루닛,제약·바이오
041960,코미팜,제약·바이오
056190,에스에프에이,로봇·자동화
327260,알에프머트리얼즈,IT·전자부품
094170,동운아나텍,반도체
253450,스튜디오드래곤,미디어·엔터
044490,태웅,조선·기계
189300,인텔리안테크놀로지스,방산·항공우주
476060,온코닉테라퓨틱스,제약·바이오
102710,이엔에프테크놀로지,반도체
161580,필옵틱스,반도체
171090,선익시스템,IT·전자부품
048410,현대바이오사이언스,제약·바이오
023160,태광,조선·기계
059090,미코,반도체
032500,케이엠더블유,IT·전자부품
222080,에스에프에이넥셀,로봇·자동화
079940,가비아,인터넷·SW·게임
121600,나노신소재,2차전지
060250,NHN KCP,인터넷·SW·게임
122640,예스티,반도체
174900,앱클론,제약·바이오
295310,에이치브이엠,철강·비철
052400,코나아이,인터넷·SW·게임
052020,에스티큐브,제약·바이오
425420,티에프이,반도체
053610,프로텍,반도체
019210,와이지-원,조선·기계
046890,서울반도체,반도체
